id,cntry,stflife,happy,fltsd,fltdpr,enjlf,wrhpp,fltanx,fltpcfl,dclvlf,lchshcp,accdng,tmimdng,tmabdng,tmendng,dngval,sedirlf,optftr,lotsgot,pstvms,flrms,wrbknrm,deaimpp,flteeff,slprl,cldgng,enrglot,ppltrst,pplfair,pplhlp,pplahlp,flclpla,inprdsc,flapppl,rehlppl,fltlnl
12445,HU,8,8,1,1,4,4,1,4,2,4,2,8,8,8,2,7,2,3,2,5,4,5,1,1,1,4,6,4,7,3,2,4,9,5,1
12446,HU,5,6,2,2,2,3,2,3,2,2,1,9,9,9,1,5,2,4,2,5,4,5,2,2,2,1,5,5,5,6,1,4,10,6,4
12448,HU,7,7,2,2,3,3,4,2,3,3,3,7,7,7,2,6,3,3,3,4,2,6,2,2,2,2,5,6,5,4,2,3,7,5,2
12450,HU,6,7,1,2,2,3,1,3,2,4,2,8,8,7,2,8,3,2,2,4,4,6,2,1,1,2,1,5,5,3,2,3,8,4,1
12452,HU,10,10,1,1,4,4,1,4,3,4,1,10,8,10,1,10,2,3,2,4,5,7,1,1,1,4,8,8,6,5,3,2,10,6,1
12454,HU,0,6,3,3,2,2,3,2,1,4,2,6,6,3,1,7,3,2,2,3,3,5,3,4,1,4,6,5,5,5,2,1,5,6,1
12455,HU,9,10,1,1,4,4,3,3,2,3,4,9,9,10,1,8,2,1,1,5,4,9,3,4,1,2,4,7,5,6,3,2,8,6,1
12458,HU,10,9,1,1,4,4,1,4,4,4,1,8,8,8,2,10,1,2,2,5,5,7,2,1,1,2,8,5,9,6,1,3,10,5,1
12461,HU,6,6,2,2,3,3,2,4,1,5,2,7,7,7,2,7,4,3,3,3,3,5,2,2,2,1,1,3,2,4,3,1,6,4,3
12463,HU,7,7,2,2,3,3,2,3,1,3,2,9,9,9,1,10,3,1,3,3,3,,2,2,2,3,5,6,4,5,1,1,8,6,3
12467,HU,2,5,2,2,3,3,3,3,3,2,2,10,10,10,2,,3,2,5,3,3,10,2,2,3,2,2,4,3,3,1,0,4,6,2
12468,HU,9,8,3,2,4,4,2,3,3,3,3,8,8,9,2,10,2,2,2,3,3,8,1,3,2,2,3,7,5,6,2,2,10,6,2
12470,HU,6,8,2,1,3,4,1,3,2,4,2,7,7,7,2,8,1,2,2,4,4,4,3,3,1,4,5,5,5,5,2,4,7,5,1
12471,HU,5,5,2,2,3,3,2,3,2,3,2,5,6,5,2,6,3,2,2,3,3,3,3,2,1,3,4,3,3,3,3,3,7,6,1
12472,HU,4,5,2,1,4,3,2,4,4,2,1,10,10,10,2,10,1,2,3,2,2,3,3,3,2,4,0,0,0,1,1,1,7,1,1
12473,HU,6,7,3,2,2,3,3,2,3,3,3,5,5,4,3,3,2,4,2,4,3,3,3,1,1,3,3,5,5,4,2,2,8,5,3
12475,HU,5,5,1,1,4,4,1,3,3,4,2,10,10,10,1,7,2,2,2,5,2,6,1,1,1,2,1,4,4,4,1,2,6,5,1
12478,HU,10,10,1,1,4,4,1,4,2,5,1,9,10,10,2,10,2,1,2,5,5,8,1,2,1,3,3,6,5,1,1,1,7,6,1
12480,HU,2,4,2,2,2,2,1,2,2,2,3,6,7,4,2,7,4,2,4,2,3,7,2,2,2,1,7,7,8,5,2,1,7,4,2
12483,HU,5,6,2,2,2,3,2,3,3,3,2,9,9,9,1,9,2,2,3,3,4,8,2,2,2,3,2,2,3,6,1,3,9,5,1
12484,HU,7,7,1,2,3,3,1,4,1,4,1,10,10,10,1,9,2,1,2,4,4,9,2,2,1,3,4,5,3,5,1,4,8,6,1
12485,HU,7,5,2,2,2,2,2,2,3,3,3,5,5,5,4,5,3,3,2,2,3,6,2,2,4,2,7,5,7,2,4,3,7,4,2
12486,HU,8,7,1,2,1,2,2,2,2,3,3,8,8,8,4,8,3,4,4,4,3,8,2,2,1,1,8,9,7,4,4,4,8,6,2
12487,HU,8,7,2,2,2,1,2,2,2,3,3,8,7,7,4,8,2,3,2,3,4,6,1,1,1,1,6,7,8,3,4,2,9,4,2
12489,HU,8,7,2,2,2,1,1,2,3,4,3,8,7,6,5,7,3,5,4,4,3,7,2,2,2,1,7,7,8,3,5,3,8,5,1
12491,HU,9,9,1,1,3,4,2,4,3,4,1,9,9,9,2,5,3,1,1,5,5,4,3,4,2,2,7,4,3,5,3,3,8,6,2
12492,HU,10,8,1,1,4,3,2,3,2,2,1,8,8,8,2,9,2,2,2,5,4,4,2,2,1,3,4,7,6,5,2,,8,5,1
12493,HU,3,8,3,4,2,3,4,2,2,2,2,7,7,,2,10,3,3,4,2,3,5,4,4,3,1,5,3,6,6,2,1,9,6,1
12494,HU,3,3,1,1,3,3,4,2,2,2,2,9,9,10,1,6,1,2,1,5,5,7,1,1,2,4,4,1,5,6,2,3,8,5,1
12495,HU,5,5,3,2,3,3,3,2,2,4,2,5,8,8,2,3,3,4,2,3,5,5,2,3,3,2,4,5,4,5,2,2,5,2,1
12496,HU,5,7,2,2,2,3,2,2,2,4,4,8,8,7,2,7,3,2,2,3,4,7,2,2,2,2,4,4,3,4,2,2,8,5,1
12500,HU,5,5,2,1,3,3,2,3,2,3,2,10,10,10,2,10,3,1,3,2,2,0,3,2,2,3,1,2,1,3,3,2,5,5,2
12501,HU,6,7,2,1,3,3,2,3,1,2,1,9,9,9,3,7,3,1,2,3,2,4,1,1,1,3,2,2,1,3,2,3,5,5,2
12503,HU,8,5,1,2,4,4,1,4,2,3,1,10,10,10,1,9,2,2,2,5,3,7,1,1,1,3,2,3,2,0,4,4,9,6,1
12504,HU,4,4,2,2,2,3,2,2,3,3,2,10,10,9,2,7,4,1,2,2,2,5,2,2,2,2,6,5,4,3,2,2,8,5,1
12505,HU,4,4,2,2,1,4,2,4,1,2,2,10,10,10,2,5,,1,1,2,5,10,2,1,2,3,2,1,2,6,1,3,,6,1
12507,HU,10,8,2,2,4,4,2,2,2,5,2,10,10,10,1,5,2,1,3,2,5,5,1,1,2,4,7,8,2,6,1,4,10,6,1
12508,HU,8,9,1,2,3,3,1,4,2,5,1,8,8,9,1,9,1,2,1,5,5,8,2,2,2,3,7,8,8,6,1,1,9,6,1
12509,HU,8,8,1,2,3,3,1,3,2,4,2,7,8,8,2,8,2,2,2,2,4,6,1,1,1,3,5,8,8,5,1,1,8,5,2
12510,HU,9,9,2,2,4,4,2,3,2,5,2,9,9,9,2,7,2,2,2,5,4,5,1,1,1,3,6,7,6,4,1,3,9,5,1
